customer_id,plan,country,monthly_usage_hours,tenure_months,subscription_type,churn
111,Basic,Australia,90,29,Yearly,0
112,Basic,Germany,10,43,Monthly,1
113,Premium,Australia,97,26,Yearly,0
114,Premium,Germany,9,19,Monthly,1
115,Standard,UK,121,34,Monthly,1
116,Premium,Canada,19,20,Monthly,0
117,Premium,Canada,54,1,Monthly,0
118,Basic,Germany,18,16,Yearly,1
119,Premium,Germany,85,41,Monthly,0
120,Standard,UK,95,13,Monthly,0
121,Premium,Canada,92,24,Monthly,0
122,Premium,UK,31,24,Yearly,1
123,Basic,USA,67,25,Monthly,0
124,Basic,Australia,122,35,Monthly,0
125,Basic,Canada,46,31,Monthly,0
126,Basic,Germany,47,39,Monthly,0
127,Premium,India,71,17,Yearly,0
128,Premium,USA,31,45,Monthly,1
129,Basic,Australia,23,40,Monthly,1
130,Standard,India,13,39,Monthly,1
131,Basic,UK,74,14,Yearly,0
132,Basic,Australia,39,28,Monthly,1
133,Basic,UK,64,22,Monthly,1
134,Basic,UK,45,41,Monthly,0
135,Premium,Germany,96,8,Yearly,0
136,Basic,UK,107,1,Yearly,1
137,Standard,India,55,11,Yearly,1
138,Standard,USA,122,29,Yearly,0
139,Basic,Germany,31,15,Yearly,0
140,Premium,USA,29,41,Monthly,1
141,Premium,UK,57,9,Monthly,0
142,Basic,Canada,67,44,Yearly,0
143,Basic,Australia,106,17,Yearly,0
144,Basic,Germany,50,27,Yearly,1
145,Basic,UK,61,19,Monthly,0
146,Basic,Germany,223,35,Yearly,0
147,Standard,Canada,27,3,Monthly,0
148,Standard,India,43,42,Monthly,0
149,Basic,India,69,40,Monthly,1
150,Basic,Australia,141,19,Monthly,0
151,Premium,India,39,46,Yearly,0
152,Basic,Canada,17,23,Monthly,0
153,Basic,USA,122,7,Monthly,1
154,Basic,Canada,36,8,Monthly,0
155,Premium,Canada,29,5,Monthly,0
156,Basic,UK,40,29,Monthly,0
157,Standard,India,31,38,Yearly,0
158,Standard,Germany,67,29,Monthly,0
159,Basic,Australia,84,41,Monthly,1
160,Standard,USA,52,29,Monthly,0
161,Basic,Germany,46,35,Yearly,0
162,Standard,UK,93,23,Monthly,0
163,Standard,UK,32,12,Monthly,0
164,Standard,USA,31,17,Monthly,1
165,Basic,Germany,53,46,Monthly,0
166,Premium,USA,20,15,Monthly,1
167,Basic,USA,18,19,Monthly,0
168,Basic,India,38,23,Monthly,0
169,Basic,Germany,43,19,Yearly,0
170,Standard,India,97,29,Yearly,0
171,Standard,India,47,40,Yearly,0
172,Basic,Australia,38,17,Monthly,1
173,Standard,India,23,43,Monthly,0
174,Basic,Canada,88,5,Yearly,1
175,Standard,UK,35,35,Monthly,0
176,Basic,UK,29,38,Monthly,0
177,Standard,Canada,48,11,Monthly,1
178,Basic,USA,92,22,Monthly,1
179,Premium,Germany,65,2,Monthly,0
180,Basic,Germany,70,13,Monthly,1
181,Basic,Germany,34,26,Yearly,0
182,Basic,India,77,42,Monthly,1
183,Premium,Germany,81,37,Monthly,1
184,Premium,Germany,70,33,Monthly,1
185,Basic,Germany,86,22,Monthly,1
186,Standard,UK,147,7,Monthly,1
187,Premium,Canada,107,28,Monthly,0
188,Standard,Australia,28,38,Yearly,0
189,Standard,USA,31,5,Yearly,1
190,Basic,Canada,87,33,Yearly,1
191,Basic,Germany,63,2,Monthly,1
192,Premium,USA,128,41,Monthly,0
193,Premium,USA,101,39,Yearly,0
194,Standard,Canada,37,5,Yearly,1
195,Basic,Canada,21,23,Yearly,1
196,Basic,Canada,85,23,Yearly,0
197,Standard,Australia,34,37,Monthly,0
198,Premium,Canada,43,35,Yearly,0
199,Premium,Australia,34,4,Yearly,0
200,Standard,India,52,6,Monthly,1
201,Standard,UK,77,44,Yearly,0
202,Basic,Australia,45,6,Monthly,1
203,Basic,UK,56,28,Yearly,0
204,Premium,Germany,48,13,Monthly,1
205,Standard,India,86,7,Monthly,0
206,Basic,USA,98,38,Monthly,1
207,Basic,Canada,91,32,Yearly,0
208,Standard,Germany,124,37,Monthly,0
209,Basic,USA,20,22,Monthly,0
210,Basic,UK,100,35,Monthly,0
211,Standard,USA,39,40,Monthly,0
212,Standard,Canada,43,19,Monthly,1
213,Standard,Canada,13,24,Monthly,0
214,Basic,Australia,71,33,Monthly,0
215,Standard,Australia,21,1,Monthly,0
216,Basic,UK,70,20,Monthly,1
217,Basic,Canada,27,7,Yearly,0
218,Standard,India,67,47,Monthly,0
219,Standard,Germany,99,43,Monthly,0
220,Premium,UK,66,2,Monthly,1
221,Standard,UK,46,38,Monthly,0
222,Standard,USA,55,32,Yearly,0
223,Basic,UK,20,5,Yearly,0
224,Basic,Germany,41,40,Monthly,0
225,Basic,India,62,41,Yearly,0
226,Basic,USA,18,44,Monthly,1
227,Premium,Germany,10,2,Monthly,1
228,Basic,Australia,76,43,Monthly,1
229,Premium,UK,42,3,Monthly,1
230,Standard,Canada,58,14,Monthly,1
231,Standard,Australia,76,22,Monthly,1
232,Standard,Canada,55,7,Monthly,1
233,Standard,Germany,79,33,Monthly,0
234,Basic,India,32,36,Monthly,0
235,Basic,Canada,59,15,Monthly,1
236,Standard,Germany,13,18,Yearly,1
237,Basic,USA,52,33,Monthly,0
238,Basic,UK,22,8,Monthly,1
239,Standard,India,144,15,Monthly,0
240,Basic,India,43,31,Yearly,0
241,Premium,USA,29,28,Monthly,1
242,Premium,India,44,46,Yearly,0
243,Premium,Germany,44,6,Yearly,0
244,Basic,India,18,44,Monthly,0
245,Basic,India,92,36,Monthly,0
246,Premium,India,98,40,Monthly,0
247,Basic,Germany,143,9,Monthly,1
248,Premium,Australia,102,39,Monthly,1
249,Premium,UK,91,4,Monthly,0
250,Premium,Canada,69,39,Yearly,0
251,Basic,Australia,65,41,Monthly,1
252,Basic,India,50,17,Yearly,0
253,Premium,USA,60,17,Monthly,1
254,Basic,USA,62,19,Yearly,0
255,Basic,Germany,61,16,Monthly,1
256,Standard,UK,91,21,Monthly,0
257,Premium,India,30,32,Monthly,0
258,Standard,Germany,66,27,Monthly,0
259,Standard,Canada,44,21,Monthly,0
260,Basic,UK,72,13,Yearly,0
261,Standard,UK,111,37,Monthly,1
262,Premium,Germany,66,17,Monthly,0
263,Basic,Australia,119,22,Monthly,0
264,Standard,USA,103,37,Monthly,1
265,Premium,Australia,89,20,Monthly,0
266,Standard,UK,83,21,Yearly,0
267,Standard,USA,30,45,Monthly,1
268,Standard,UK,61,11,Monthly,1
269,Basic,UK,105,43,Monthly,0
270,Basic,UK,151,18,Monthly,0
271,Premium,Canada,20,4,Yearly,0
272,Premium,USA,16,36,Monthly,1
273,Premium,Canada,27,40,Monthly,0
274,Premium,USA,52,2,Yearly,1
275,Standard,Canada,163,5,Monthly,0
276,Standard,Canada,53,37,Yearly,0
277,Standard,Canada,42,34,Monthly,0
278,Standard,Germany,24,36,Monthly,0
279,Standard,Canada,54,46,Monthly,0
280,Standard,Australia,190,7,Monthly,0
281,Premium,Australia,31,41,Monthly,1
282,Basic,UK,35,31,Yearly,0
283,Basic,India,87,30,Monthly,0
284,Basic,Canada,110,13,Monthly,1
285,Standard,India,37,33,Monthly,1
286,Basic,India,57,29,Monthly,0
287,Basic,UK,82,11,Yearly,0
288,Standard,India,56,12,Monthly,1
289,Basic,India,78,29,Yearly,0
290,Standard,Australia,90,27,Monthly,0
291,Basic,India,52,27,Monthly,0
292,Basic,USA,43,47,Yearly,0
293,Premium,Canada,20,13,Monthly,0
294,Basic,Canada,22,20,Monthly,0
295,Basic,India,24,4,Yearly,0
296,Standard,UK,90,11,Yearly,0
297,Standard,USA,118,17,Yearly,0
298,Basic,UK,24,40,Monthly,0
299,Standard,UK,81,14,Monthly,0
300,Basic,India,23,14,Monthly,0
301,Basic,Germany,13,29,Monthly,0
302,Standard,India,146,27,Monthly,0
303,Standard,Australia,26,24,Monthly,1
304,Standard,Germany,52,36,Monthly,1
305,Standard,USA,11,42,Yearly,1
306,Premium,Germany,89,3,Monthly,0
307,Standard,India,46,5,Monthly,1
308,Basic,India,57,13,Monthly,1
309,Standard,UK,59,5,Yearly,0
310,Basic,India,26,34,Yearly,1
311,Basic,Australia,32,7,Yearly,0
312,Basic,India,22,9,Monthly,1
313,Basic,Canada,67,34,Yearly,0
314,Premium,Canada,57,28,Monthly,0
315,Premium,UK,53,2,Monthly,0
316,Standard,Germany,82,28,Monthly,1
317,Basic,Germany,65,45,Yearly,0
318,Basic,Canada,48,38,Monthly,0
319,Basic,Australia,83,4,Monthly,1
320,Basic,USA,35,24,Monthly,1
321,Standard,Australia,19,2,Monthly,1
322,Standard,Canada,44,38,Monthly,1
323,Standard,Australia,34,45,Yearly,0
324,Basic,USA,102,33,Monthly,0
325,Premium,Germany,80,24,Monthly,1
326,Standard,Canada,28,33,Monthly,0
327,Standard,India,25,34,Monthly,0
328,Standard,USA,35,17,Monthly,0
329,Basic,USA,50,46,Yearly,0
330,Basic,USA,52,20,Monthly,0
331,Basic,Germany,35,41,Monthly,0
332,Standard,Australia,60,20,Monthly,0
333,Basic,UK,32,23,Yearly,0
334,Basic,India,125,44,Monthly,1
335,Basic,Canada,46,5,Monthly,0
336,Basic,Australia,84,30,Monthly,0
337,Premium,USA,89,21,Monthly,1
338,Standard,Germany,51,38,Monthly,1
339,Basic,USA,37,38,Monthly,0
340,Basic,Australia,19,17,Yearly,0
341,Basic,Canada,30,15,Monthly,1
342,Basic,India,46,19,Monthly,1
343,Basic,USA,30,27,Yearly,1
344,Basic,Germany,41,18,Monthly,1
345,Basic,Germany,136,23,Monthly,1
346,Standard,UK,44,44,Monthly,1
347,Standard,Germany,67,9,Yearly,0
348,Basic,UK,89,19,Monthly,0
349,Basic,India,128,39,Monthly,1
350,Standard,Canada,71,47,Monthly,1
351,Standard,UK,5,37,Yearly,0
352,Premium,USA,61,2,Yearly,1
353,Standard,Australia,25,31,Yearly,0
354,Basic,USA,35,32,Monthly,0
355,Basic,Canada,52,17,Monthly,1
356,Standard,Germany,88,43,Monthly,1
357,Basic,Australia,52,26,Monthly,0
358,Standard,USA,28,42,Yearly,1
359,Premium,Australia,90,21,Monthly,0
360,Standard,UK,29,19,Yearly,0
361,Basic,Canada,5,15,Monthly,0
362,Standard,USA,35,39,Monthly,0
363,Basic,Germany,30,41,Monthly,0
364,Standard,Australia,57,4,Monthly,1
365,Premium,Germany,87,9,Monthly,0
366,Basic,Australia,29,33,Monthly,1
367,Premium,USA,55,39,Monthly,0
368,Premium,Canada,110,27,Yearly,0
369,Basic,India,26,3,Monthly,1
370,Basic,USA,59,2,Monthly,1
371,Basic,Germany,164,1,Monthly,0
372,Basic,India,65,4,Monthly,1
373,Basic,Canada,47,19,Monthly,1
374,Standard,Germany,73,1,Yearly,0
375,Basic,Canada,87,36,Yearly,1
376,Basic,Australia,58,15,Monthly,0
377,Premium,USA,135,42,Yearly,0
378,Basic,Canada,42,1,Monthly,1
379,Premium,Germany,33,22,Monthly,0
380,Basic,USA,67,13,Monthly,1
381,Basic,Germany,47,12,Yearly,0
382,Standard,Germany,104,18,Monthly,0
383,Standard,India,94,2,Yearly,1
384,Premium,UK,62,45,Yearly,0
385,Standard,Canada,74,47,Monthly,1
386,Premium,Canada,41,7,Yearly,0
387,Basic,India,62,19,Monthly,1
388,Basic,Australia,10,34,Yearly,1
389,Standard,Canada,111,1,Monthly,0
390,Premium,India,67,46,Monthly,0
391,Premium,Canada,72,34,Monthly,1
392,Basic,Canada,52,18,Monthly,0
393,Basic,Germany,59,47,Monthly,1
394,Standard,India,47,5,Yearly,1
395,Basic,Australia,73,14,Monthly,0
396,Premium,Canada,50,29,Monthly,0
397,Premium,Australia,50,24,Yearly,0
398,Basic,UK,7,11,Monthly,1
399,Standard,India,64,27,Yearly,0
400,Standard,India,71,22,Monthly,0
401,Basic,India,81,45,Monthly,0
402,Premium,Germany,72,11,Yearly,0
403,Standard,India,11,21,Monthly,0
404,Premium,Germany,57,36,Monthly,0
405,Basic,UK,52,4,Monthly,1
406,Premium,USA,38,44,Monthly,0
407,Basic,Germany,94,42,Yearly,1
408,Basic,Canada,61,17,Monthly,1
409,Premium,India,95,2,Monthly,0
410,Basic,USA,16,20,Monthly,0
411,Basic,Germany,40,11,Monthly,0
412,Premium,Australia,9,34,Monthly,0
413,Premium,Australia,116,2,Monthly,0
414,Standard,Canada,96,45,Monthly,1
415,Standard,USA,128,25,Yearly,0
416,Basic,UK,105,13,Monthly,0
417,Basic,Germany,57,17,Monthly,1
418,Basic,Australia,41,32,Monthly,0
419,Standard,Australia,74,47,Yearly,0
420,Standard,Germany,42,14,Yearly,0
421,Standard,Australia,75,21,Monthly,0
422,Standard,UK,43,33,Monthly,1
423,Basic,Australia,86,16,Monthly,0
424,Basic,Germany,29,22,Monthly,0
425,Basic,India,85,11,Yearly,1
426,Standard,Australia,23,29,Monthly,1
427,Basic,Germany,45,26,Yearly,1
428,Premium,India,19,21,Monthly,1
429,Basic,Australia,47,19,Monthly,0
430,Basic,Australia,19,39,Yearly,0
431,Basic,Germany,38,15,Yearly,1
432,Standard,Canada,69,31,Monthly,0
433,Standard,Canada,41,42,Monthly,1
434,Basic,USA,36,31,Yearly,0
435,Basic,Canada,32,27,Yearly,1
436,Standard,UK,26,7,Monthly,0
437,Basic,USA,25,9,Yearly,0
438,Premium,Canada,82,14,Monthly,0
439,Standard,India,104,30,Monthly,0
440,Basic,Germany,53,1,Yearly,0
441,Basic,Canada,96,17,Yearly,0
442,Premium,India,132,1,Yearly,0
443,Basic,USA,48,43,Yearly,1
444,Basic,Germany,38,18,Monthly,1
445,Premium,Canada,38,45,Monthly,0
446,Premium,USA,70,24,Monthly,1
447,Premium,Canada,186,45,Monthly,1
448,Standard,USA,17,18,Yearly,0
449,Basic,Canada,165,20,Monthly,0
450,Basic,India,36,28,Monthly,1
451,Standard,UK,45,38,Monthly,0
452,Standard,India,78,13,Monthly,0
453,Basic,Germany,172,38,Monthly,1
454,Premium,Canada,32,40,Monthly,0
455,Basic,UK,140,1,Monthly,1
456,Basic,UK,10,12,Monthly,0
457,Basic,Germany,23,33,Yearly,0
458,Basic,Germany,53,44,Monthly,1
459,Basic,UK,30,46,Yearly,0
460,Basic,Germany,54,37,Yearly,0
461,Basic,Germany,67,12,Yearly,0
462,Standard,Canada,50,21,Yearly,0
463,Standard,India,93,2,Yearly,0
464,Standard,Australia,112,6,Monthly,0
465,Premium,USA,110,2,Yearly,0
466,Basic,UK,27,23,Monthly,1
467,Basic,USA,109,35,Monthly,0
468,Premium,UK,172,47,Yearly,0
469,Basic,UK,69,43,Monthly,0
470,Premium,India,53,38,Monthly,1
471,Basic,UK,56,17,Monthly,0
472,Premium,UK,20,5,Monthly,0
473,Basic,India,75,10,Monthly,0
474,Premium,Germany,38,11,Monthly,0
475,Standard,Australia,178,40,Monthly,1
476,Premium,USA,103,31,Monthly,0
477,Basic,UK,80,3,Monthly,1
478,Standard,India,68,23,Monthly,1
479,Premium,UK,9,31,Yearly,0
480,Standard,India,108,38,Yearly,0
481,Standard,USA,38,33,Monthly,0
482,Standard,Canada,50,23,Monthly,0
483,Basic,Germany,60,47,Yearly,0
484,Standard,Canada,154,24,Monthly,0
485,Standard,India,119,17,Yearly,0
486,Premium,UK,12,8,Monthly,1
487,Basic,Germany,31,34,Yearly,0
488,Basic,USA,130,15,Monthly,1
489,Premium,Australia,51,16,Monthly,1
490,Premium,Germany,22,27,Monthly,0
491,Basic,UK,64,27,Yearly,0
492,Standard,Canada,70,17,Monthly,0
493,Basic,India,22,22,Yearly,0
494,Basic,Canada,79,21,Yearly,0
495,Basic,Germany,13,5,Monthly,0
496,Basic,Australia,126,38,Monthly,1
497,Standard,UK,90,29,Monthly,0
498,Basic,India,96,6,Monthly,0
499,Premium,UK,55,11,Monthly,1
500,Premium,UK,115,26,Yearly,0
501,Standard,Australia,69,40,Yearly,0
502,Standard,Germany,115,15,Monthly,0
503,Basic,Canada,59,36,Monthly,0
504,Premium,UK,120,8,Monthly,0
505,Standard,UK,35,33,Monthly,1
506,Basic,UK,30,36,Monthly,0
507,Premium,India,66,24,Monthly,0
508,Premium,UK,38,8,Yearly,0
509,Premium,UK,57,32,Monthly,0
510,Standard,Germany,12,24,Yearly,0
511,Standard,UK,80,19,Monthly,0
512,Basic,Australia,112,35,Monthly,1
513,Premium,Australia,38,23,Yearly,1
514,Premium,UK,73,32,Monthly,1
515,Basic,Australia,91,47,Yearly,0
516,Basic,Germany,41,25,Monthly,0
517,Basic,India,19,17,Monthly,0
518,Premium,Australia,63,1,Monthly,1
519,Premium,Australia,85,41,Yearly,1
520,Basic,Canada,27,42,Monthly,1
521,Standard,Germany,105,39,Yearly,1
522,Basic,Australia,72,42,Yearly,0
523,Premium,India,36,42,Yearly,0
524,Premium,Canada,135,17,Yearly,0
525,Premium,UK,41,44,Yearly,0
526,Basic,Germany,11,17,Yearly,0
527,Basic,Australia,94,28,Monthly,0
528,Basic,UK,30,25,Monthly,0
529,Basic,Germany,44,18,Monthly,0
530,Premium,Canada,39,39,Monthly,0
531,Premium,Australia,93,44,Monthly,1
532,Premium,India,66,31,Yearly,0
533,Premium,Germany,25,40,Yearly,1
534,Standard,India,24,18,Yearly,0
535,Standard,UK,21,47,Yearly,0
536,Premium,UK,42,43,Monthly,0
537,Premium,Canada,102,12,Yearly,0
538,Basic,Canada,49,39,Yearly,0
539,Basic,USA,127,15,Monthly,0
540,Basic,USA,54,34,Monthly,0
541,Premium,Canada,19,37,Monthly,0
542,Standard,Australia,15,14,Yearly,0
543,Basic,UK,102,3,Monthly,1
544,Standard,India,77,8,Monthly,0
545,Standard,Canada,31,30,Yearly,1
546,Basic,Australia,18,47,Yearly,0
547,Basic,India,29,37,Yearly,0
548,Standard,USA,82,3,Monthly,1
549,Standard,India,99,18,Yearly,0
550,Standard,Canada,16,5,Yearly,1
551,Standard,UK,25,1,Monthly,0
552,Premium,Canada,144,16,Monthly,0
553,Standard,Germany,83,22,Monthly,0
554,Standard,Australia,24,36,Monthly,1
555,Premium,Australia,33,37,Yearly,0
556,Basic,Australia,122,43,Monthly,1
557,Basic,Germany,39,46,Yearly,1
558,Basic,Germany,42,44,Monthly,0
559,Standard,UK,41,12,Yearly,0
560,Standard,Australia,42,37,Monthly,0
561,Standard,Canada,87,10,Yearly,0
562,Basic,Germany,64,35,Monthly,0
563,Basic,Canada,87,8,Monthly,1
564,Basic,USA,34,17,Yearly,0
565,Basic,Australia,8,11,Yearly,0
566,Standard,Germany,38,25,Yearly,0
567,Basic,Germany,46,11,Monthly,0
568,Basic,UK,70,21,Yearly,1
569,Premium,Canada,44,26,Yearly,0
570,Basic,UK,26,32,Monthly,1
571,Standard,UK,15,17,Monthly,1
572,Standard,Canada,186,32,Monthly,0
573,Basic,USA,90,10,Monthly,1
574,Standard,Canada,63,19,Yearly,0
575,Premium,USA,57,6,Monthly,0
576,Premium,UK,38,9,Monthly,0
577,Basic,USA,48,39,Yearly,0
578,Premium,Australia,27,13,Yearly,0
579,Basic,USA,54,15,Yearly,0
580,Basic,USA,82,28,Yearly,0
581,Basic,Germany,46,1,Yearly,0
582,Premium,Germany,11,9,Monthly,0
583,Basic,UK,72,15,Yearly,0
584,Basic,Canada,63,26,Monthly,1
585,Standard,USA,93,25,Monthly,0
586,Basic,Australia,50,10,Monthly,0
587,Basic,Germany,87,32,Monthly,0
588,Basic,Canada,15,37,Yearly,0
589,Basic,Australia,26,34,Monthly,0
590,Basic,USA,43,41,Yearly,0
591,Basic,Canada,54,47,Monthly,0
592,Standard,Australia,91,45,Monthly,1
593,Basic,India,63,7,Monthly,1
594,Basic,Australia,28,29,Yearly,0
595,Premium,Australia,75,33,Monthly,1
596,Basic,USA,33,37,Monthly,0
597,Standard,Canada,41,37,Monthly,0
598,Basic,USA,77,23,Yearly,0
599,Basic,USA,31,30,Monthly,1
600,Basic,India,76,23,Monthly,0
601,Basic,Australia,16,20,Yearly,0
602,Basic,Canada,28,17,Monthly,0
603,Basic,UK,27,39,Monthly,1
604,Basic,Germany,35,17,Monthly,1
605,Basic,USA,34,1,Monthly,1
606,Basic,USA,27,29,Monthly,0
607,Basic,USA,45,26,Monthly,0
608,Basic,USA,14,2,Yearly,1
609,Standard,Germany,13,45,Monthly,1
610,Standard,UK,68,35,Yearly,0
611,Basic,India,22,12,Monthly,1
612,Standard,UK,38,10,Monthly,1
613,Standard,Germany,55,13,Monthly,0
614,Basic,Canada,135,39,Yearly,1
615,Premium,India,53,25,Monthly,1
616,Premium,India,102,37,Yearly,0
617,Basic,Canada,62,6,Monthly,1
618,Basic,Australia,157,27,Monthly,1
619,Premium,USA,95,14,Monthly,0
620,Standard,Germany,54,27,Yearly,0
621,Basic,Canada,76,22,Monthly,0
622,Basic,UK,45,36,Monthly,0
623,Basic,UK,44,7,Yearly,0
624,Basic,Australia,152,45,Yearly,0
625,Standard,Canada,22,45,Monthly,0
626,Basic,Germany,51,6,Monthly,1
627,Basic,Australia,66,31,Monthly,1
628,Standard,Australia,39,17,Monthly,0
629,Basic,Australia,69,7,Yearly,1
630,Basic,India,45,13,Monthly,0
631,Standard,India,75,22,Yearly,0
632,Premium,USA,23,15,Monthly,1
633,Standard,Germany,33,43,Monthly,0
634,Standard,UK,29,31,Monthly,0
635,Basic,UK,17,11,Monthly,1
636,Basic,USA,109,21,Yearly,0
637,Standard,UK,37,1,Monthly,1
638,Basic,Australia,92,43,Monthly,1
639,Basic,USA,38,23,Monthly,1
640,Basic,USA,56,29,Yearly,0
641,Basic,Canada,141,1,Monthly,1
642,Basic,India,93,28,Monthly,1
643,Basic,Germany,93,39,Monthly,1
644,Basic,Germany,44,8,Monthly,0
645,Basic,India,21,35,Yearly,0
646,Premium,Australia,26,44,Yearly,0
647,Standard,Germany,44,23,Monthly,1
648,Standard,UK,122,18,Monthly,0
649,Standard,UK,68,20,Monthly,0
650,Basic,Germany,97,8,Yearly,0
651,Basic,Canada,67,34,Yearly,0
652,Standard,Germany,36,19,Yearly,0
653,Standard,USA,37,17,Monthly,0
654,Standard,Australia,65,39,Monthly,1
655,Basic,USA,145,27,Yearly,0
656,Basic,India,45,18,Monthly,0
657,Basic,Australia,55,1,Monthly,1
658,Basic,Australia,23,32,Monthly,1
659,Standard,UK,76,20,Monthly,1
660,Standard,Australia,43,4,Monthly,0
661,Basic,Canada,60,40,Monthly,0
662,Premium,Germany,37,29,Monthly,1
663,Standard,USA,94,5,Monthly,1
664,Basic,UK,83,36,Monthly,1
665,Basic,UK,25,25,Monthly,0
666,Basic,Canada,21,6,Monthly,0
667,Basic,Canada,48,13,Yearly,0
668,Basic,Canada,34,17,Monthly,0
669,Basic,Canada,66,30,Monthly,1
670,Basic,USA,78,39,Monthly,1
671,Basic,Canada,160,12,Monthly,0
672,Premium,UK,47,24,Monthly,0
673,Basic,UK,18,4,Yearly,0
674,Standard,Australia,38,3,Monthly,1
675,Basic,Germany,18,14,Yearly,0
676,Premium,UK,32,31,Yearly,0
677,Basic,UK,60,17,Monthly,0
678,Basic,USA,50,8,Monthly,0
679,Premium,Australia,73,25,Yearly,0
680,Premium,UK,38,11,Monthly,1
681,Premium,India,16,26,Yearly,1
682,Basic,UK,135,26,Monthly,1
683,Basic,Germany,41,44,Monthly,0
